trade_id,date,side,entry_time,exit_time,underlying_entry,underlying_exit,h3,l3,h1,l1,strike,option_type,option_symbol,entry_premium,exit_premium,lots,lot_size,gross_pnl,charges,net_pnl,exit_reason,re_entry_number,regime_at_exit
1,2026-01-06,CALL,2026-01-06 09:56:00,2026-01-06 10:21:00,26250.50,26233.90,26238.60,26144.70,26242.60,26226.40,26000,CE,NIFTY26000CE,732.00,713.45,1,25,-463.75,78.09,-541.84,CANDLE_SL,0,A
1,2026-01-07,PUT,2026-01-07 09:53:00,2026-01-07 09:56:00,26106.65,26115.00,26166.00,26104.30,26115.05,26099.55,26350,PE,NIFTY26350PE,393.00,394.00,1,25,25.00,64.10,-39.10,CANDLE_SL,0,A
1,2026-01-12,PUT,2026-01-12 09:20:00,2026-01-12 12:17:00,25598.95,25606.90,25700.95,25612.05,25627.45,25610.55,25850,PE,NIFTY25850PE,409.65,398.20,1,25,-286.25,64.45,-350.70,PREMIUM_TRAIL_SL,0,B
1,2026-01-13,PUT,2026-01-13 09:21:00,2026-01-13 10:33:00,25819.65,25823.80,25899.80,25836.40,25854.80,25822.35,26100,PE,NIFTY26100PE,428.00,422.00,1,25,-150.00,65.40,-215.40,PREMIUM_TRAIL_SL,0,B
2,2026-01-13,PUT,2026-01-13 10:35:00,2026-01-13 14:47:00,25783.95,25698.75,25899.80,25836.40,25854.80,25822.35,26100,PE,NIFTY26100PE,447.75,479.65,1,25,797.50,67.34,730.16,PREMIUM_TRAIL_SL,1,B
1,2026-01-14,CALL,2026-01-14 09:23:00,2026-01-14 09:44:00,25709.75,25706.65,25719.35,25638.35,25738.60,25703.30,25450,CE,NIFTY25450CE,680.00,678.00,1,25,-50.00,76.33,-126.33,CANDLE_SL,0,A
2,2026-01-14,CALL,2026-01-14 09:54:00,2026-01-14 10:08:00,25742.45,25703.00,25719.35,25638.35,25738.60,25703.30,25450,CE,NIFTY25450CE,642.50,638.50,1,25,-100.00,74.66,-174.66,CANDLE_SL,1,A
1,2026-01-16,CALL,2026-01-16 09:53:00,2026-01-16 11:58:00,25749.90,25778.70,25743.25,25678.40,25750.55,25736.75,25500,CE,NIFTY25500CE,653.95,679.10,1,25,628.75,76.00,552.75,PREMIUM_TRAIL_SL,0,B
1,2026-01-19,PUT,2026-01-19 10:01:00,2026-01-19 11:00:00,25517.00,25550.10,25653.30,25528.30,25550.35,25518.05,25850,PE,NIFTY25850PE,451.00,447.65,1,25,-83.75,66.46,-150.21,CANDLE_SL,0,A
2,2026-01-19,PUT,2026-01-19 11:20:00,2026-01-19 12:17:00,25514.90,25556.05,25653.30,25528.30,25550.35,25518.05,25850,PE,NIFTY25850PE,424.70,440.15,1,25,386.25,65.88,320.37,CANDLE_SL,1,A
